Timestamp,moon2A,moon2AY,moon2B,moon2BED,moon2BOO,moon2BRAIN,moon2C,moon2CD,moon2COFFEE,moon2COOM,moon2CR,moon2CUTE,moon2CV,moon2D,moon2D,moon2DEV,moon2DODGE,moon2DOIT,moon2DUMB,moon2E,moon2EEL,moon2EZ,moon2G,moon2GN,moon2GUMS,moon2H,moon2JIMBO,moon2JR,moon2L,moon2LOLE,moon2M,moon2MD,moon2ME,moon2MM,moon2N,moon2O, moon2PEEPEEGA,moon2PH,moon2POGGYWOGGY,moon2PREGARIO,moon2PREGIGI,moon2S,moon2SECRETMOTE,moon2SGUN,moon2SH,moon2SMAG,moon2SMEG,moon2SMERG,moon2SMORG,moon2SMUG,moon2SP,moon2SPY,moon2SUFFER,moon2T,moon2VERYSCARED,moon2W,moon2WUT,moon2Y
4/13/2020 14:06:05,4,-4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,4,4,4,4,4,4,4,4,4,4,4,4
4/13/2020 14:07:07,-3,3,-3,3,-2,2,4,4,4,-3,4,4,4,2,4,4,3,0,-3,4,2,2,2,4,1,-4,2,4,4,-2,4,-4,2,-4,0,-3,-3,0,3,4,-4,4,-4,4,4,1,-1,-2,1,4,4,4,-2,2,0,-4,4,4
4/13/2020 14:07:35,-4,3,-1,4,-2,-1,4,1,0,0,2,4,3,-2,1,2,0,-1,-2,2,4,4,1,2,1,-2,3,4,2,3,1,-1,3,-3,0,4,0,-2,3,0,0,4,0,2,4,2,1,2,3,2,4,1,-2,2,-1,1,-2,-1
4/13/2020 14:09:34,-1,3,-4,1,-2,3,2,-1,0,1,2,4,2,-1,4,-1,1,1,-3,4,1,3,0,-1,1,1,2,2,2,1,-2,-1,1,-3,0,-2,-3,-1,4,1,1,4,1,4,3,1,0,-2,-1,4,2,2,2,1,2,-1,-2,1
4/13/2020 14:11:27,-4,4,1,4,-2,0,2,0,1,-1,1,4,2,-2,1,-1,0,-1,-3,-1,0,1,1,0,1,-3,0,1,3,2,2,-3,1,-1,0,2,-2,-4,0,-4,-4,4,-4,-1,3,2,1,1,0,2,4,1,-2,2,-2,-3,1,1
4/13/2020 14:11:27,4,-4,4,4,0,4,4,1,-1,-3,4,4,4,4,4,2,2,2,3,4,4,4,4,0,3,4,3,3,2,4,4,0,4,0,3,4,0,4,4,4,4,4,0,4,4,2,4,2,1,4,3,3,3,3,3,3,4,4
4/13/2020 14:11:53,4,-4,0,4,0,0,4,4,4,4,-4,4,4,4,-4,4,-4,4,4,4,0,-2,4,-4,0,4,0,0,4,4,4,0,-2,-2,2,0,-2,4,4,0,0,4,0,4,4,0,-2,-4,-2,4,4,4,4,-2,4,0,2,2
4/13/2020 14:15:21,-4,4,-2,4,-3,1,4,0,0,0,1,4,4,-1,2,1,0,1,-1,-1,0,2,0,1,0,0,0,1,3,3,2,0,2,0,0,-1,-2,-3,4,2,2,3,1,3,3,1,1,0,0,1,3,1,-1,1,-1,1,0,0
4/13/2020 14:19:56,-4,2,-1,0,-3,3,4,-2,1,2,2,4,1,-2,2,2,2,-2,-4,4,2,2,1,3,4,2,4,-2,4,3,0,-4,0,-2,0,-1,-3,-3,4,2,2,3,2,1,2,2,4,-4,-3,3,1,2,-2,2,-4,-4,0,2
4/13/2020 14:24:02,-4,3,-3,3,-2,1,4,0,0,-1,2,4,1,-2,-1,1,0,1,-1,1,3,2,0,0,2,0,-2,2,1,1,2,-2,0,0,0,3,-1,-3,3,0,0,4,0,0,3,0,0,-1,-2,0,3,2,-1,0,-2,2,-2,1
4/13/2020 14:25:09,-3,4,-1,4,-1,1,2,-1,-1,-1,1,4,1,-1,2,-1,3,1,-3,3,3,2,2,-1,2,1,-1,-1,3,-1,-1,-1,2,-2,-3,-3,-4,-1,4,4,4,4,4,1,1,-1,-1,-4,1,-1,4,3,-2,1,-1,2,-2,2
4/13/2020 14:25:10,-4,3,1,3,-3,2,4,-1,1,3,1,4,2,-3,-1,-3,0,2,-1,3,2,2,1,0,0,-3,1,0,3,1,0,-1,1,-4,0,-2,-3,-4,1,2,2,4,0,2,3,1,1,-2,-1,1,3,1,-4,0,-2,1,-2,0
4/13/2020 14:25:30,-4,-4,-4,4,-2,4,4,0,0,-1,0,4,2,-2,-2,-1,2,-2,-1,2,3,2,2,1,0,3,3,-1,4,2,3,-1,2,3,0,-1,-2,-3,4,0,0,3,0,1,2,0,2,-1,-1,4,4,0,-2,1,-2,-3,-1,-1
4/13/2020 14:25:54,0,1,-3,4,0,0,4,4,0,0,4,4,2,0,4,0,0,4,0,4,0,4,4,1,0,4,4,-1,3,4,4,0,3,0,0,0,0,0,0,0,0,4,0,4,4,4,4,0,0,4,4,4,0,4,0,-4,0,0
4/13/2020 14:27:36,,4,-1,3,-1,4,0,-1,-4,-1,2,4,1,2,-1,2,0,1,1,3,4,-1,-1,-1,0,0,2,1,3,2,2,-4,-4,1,1,0,-1,3,-1,-4,-4,3,-4,-4,-4,-4,-4,3,-4,2,1,1,2,2,-4,-4,2,-4
4/13/2020 14:27:49,4,-4,4,4,3,2,2,0,3,4,3,4,3,3,3,3,4,4,2,4,4,4,2,4,4,4,4,4,4,4,4,4,4,2,4,4,0,4,4,0,0,4,4,4,4,4,4,0,4,4,4,4,2,4,4,3,4,4
4/13/2020 14:28:29,4,0,2,4,0,3,3,1,1,4,2,4,3,4,1,3,0,3,3,4,0,4,4,2,4,4,4,3,4,4,3,1,3,4,0,2,0,3,4,3,3,4,3,4,4,4,3,2,3,4,4,3,4,4,2,3,4,4
4/13/2020 14:29:57,-4,3,-2,3,0,2,2,-1,0,-2,1,4,2,-1,0,-2,0,-2,-2,3,1,2,0,-1,0,-2,0,1,1,3,0,-1,0,-1,0,-2,-1,-4,4,1,1,4,0,1,1,0,0,-1,0,2,2,0,-3,0,-3,0,0,0
4/13/2020 14:31:00,-1,3,0,4,-2,0,3,0,2,-2,0,4,2,2,-1,-3,0,3,-1,4,1,3,-1,-3,0,0,-1,2,3,3,1,0,0,-2,0,0,-1,-1,1,0,0,4,0,-1,4,3,-3,-1,0,0,4,0,-4,-1,0,-4,-2,0
4/13/2020 14:31:45,4,0,1,4,4,4,-1,-4,-4,2,-4,4,-4,4,0,0,-4,2,1,0,-2,3,1,-4,3,4,-1,-3,4,2,3,4,-3,3,4,-4,-4,2,4,-4,-4,4,-4,-1,4,-1,4,3,2,4,1,4,4,4,1,0,2,-4
4/13/2020 14:33:19,4,4,4,4,-4,2,4,2,4,4,2,4,2,4,-4,4,-2,-2,-4,4,4,-4,-3,1,1,4,-4,2,4,4,-4,-4,-2,3,3,3,-2,2,2,2,-4,4,4,3,4,-4,-2,4,-4,4,4,3,4,1,-2,4,-2,-4
4/13/2020 14:34:26,-4,3,-2,4,0,2,2,0,1,2,2,4,2,-3,1,-4,1,-4,-2,2,1,2,0,-1,0,-3,1,-1,2,-1,3,-1,1,-4,0,-1,-2,-3,0,1,1,3,0,0,0,1,-1,-1,-2,3,4,1,-4,2,-2,-4,2,1
4/13/2020 14:34:46,-1,1,-4,4,-2,2,4,-1,2,0,1,4,3,-1,2,0,0,0,-2,0,3,3,0,0,0,4,0,0,4,0,0,-1,0,-2,-2,-2,-3,-1,3,0,0,4,0,2,2,0,0,-2,0,0,3,0,-1,0,0,0,-3,-4
4/13/2020 14:35:28,4,-1,3,3,4,4,3,-3,-2,4,4,4,2,4,4,4,-1,2,3,4,3,4,3,3,1,4,4,3,4,4,4,0,4,3,0,3,1,3,4,4,4,2,3,2,1,0,4,3,2,4,2,4,4,3,4,4,4,4
4/13/2020 14:36:41,-3,3,-4,3,-2,2,4,-1,0,0,1,4,1,-3,2,-4,1,0,-2,2,4,2,2,1,3,4,3,1,0,3,1,-1,2,0,0,-2,-4,-3,4,1,1,1,1,-1,3,0,1,-2,-1,1,3,2,-4,2,-3,-2,-3,0
4/13/2020 14:37:03,4,4,0,4,1,4,4,1,0,0,0,4,1,4,0,4,0,4,4,4,2,4,0,0,4,4,,4,4,4,4,,4,0,2,4,1,4,4,4,4,4,1,0,3,3,0,1,0,4,1,3,3,0,1,4,0,0
4/13/2020 14:37:15,3,-1,-3,0,0,0,4,-1,0,0,4,4,4,2,2,0,2,0,-3,2,2,4,4,0,3,2,2,0,2,3,4,0,0,0,0,0,-4,0,4,2,1,4,4,2,4,-2,-2,0,-2,2,4,4,0,-2,0,0,-2,4
4/13/2020 14:41:27,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-3,1,0,-2,-3,-4,-3
4/13/2020 14:42:17,4,4,4,3,4,4,3,3,2,-1,-1,4,0,4,2,3,1,4,3,4,3,1,3,-2,3,3,4,4,2,1,3,-2,0,-2,3,3,3,4,2,4,4,4,4,-1,-1,-4,0,-1,-2,4,1,3,3,4,2,0,-2,2
4/13/2020 14:48:14,4,-4,4,-4,4,-4,-4,4,-4,-4,-4,-4,4,4,-4,4,-4,4,4,-4,-4,-4,4,4,4,4,4,4,-4,-4,-4,4,-4,4,4,-4,4,4,-4,-4,-4,-4,-4,4,-4,4,4,4,4,-4,-4,-4,4,-4,4,4,4,-4
4/13/2020 14:52:05,-3,4,-2,1,-1,2,0,0,0,1,0,4,1,-1,1,0,1,1,-3,2,-3,2,1,-1,1,-2,2,-1,3,2,1,0,0,-1,-1,0,-1,0,3,0,0,1,0,1,1,0,0,-1,0,-1,1,0,-2,0,0,-1,-2,0
4/13/2020 14:54:59,-2,1,-1,3,-1,2,3,-2,0,-1,0,4,2,0,0,-1,0,0,-2,4,0,2,0,-1,0,0,0,0,3,1,0,-1,0,0,0,0,-3,0,3,0,0,4,0,2,4,0,4,-2,-1,4,0,0,-2,0,0,0,-2,0
4/13/2020 15:05:12,0,-1,1,3,2,4,4,-4,3,3,3,4,2,0,2,2,2,0,-2,2,4,4,4,2,4,3,2,1,-4,2,2,2,2,0,0,2,-2,0,0,0,0,2,0,2,4,4,2,0,1,1,1,1,2,1,-1,4,0,0
4/13/2020 15:09:15,-2,1,-1,1,-3,0,3,0,1,0,0,4,0,0,0,0,0,0,-1,0,0,1,0,0,0,-1,0,0,1,0,1,-1,0,0,0,-2,-2,-2,3,0,0,0,0,0,2,0,0,-1,0,0,1,0,-1,0,0,0,-2,0
4/13/2020 15:18:53,-4,-4,-1,4,1,2,1,0,0,3,3,4,4,2,1,1,0,1,-2,4,4,1,4,-3,-4,4,1,4,4,4,1,1,3,-3,0,1,3,0,3,4,4,4,4,4,4,1,4,4,-2,4,4,-4,4,-2,0,3,4,4
STDEV,3.508075735,3.003639249,2.716893926,1.697749375,2.43503835,1.838888959,1.795419007,2.217197868,2.143193251,2.336052837,2.195488116,1.352246808,1.629558893,2.593787018,2.300894967,2.460784872,2.037464234,2.272229128,2.626625147,2.21984934,2.304544287,2.30272035,2.075062012,2.268527824,2.054713785,2.817412843,2.254723701,2.189355456,2.248435497,2.20656012,2.185513804,2.175868298,2.182050535,2.35575462,1.693784981,2.453603079,2.193190378,2.76927925,1.94547525,2.387995186,2.571008369,1.711061394,2.464879359,2.046517846,2.13100363,2.152582971,2.332452815,2.332452815,2.085564631,2.083549008,1.837060129,2.187435473,2.85710084,1.981850421,2.332452815,2.823074193,2.583724105,2.593463017
AVERAGE RATING,0,1.192307692,-0.1538461538,2.961538462,0.1153846154,2.038461538,2.538461538,-0.03846153846,0.3461538462,0.7692307692,1.192307692,3.692307692,1.807692308,1,0.6538461538,0.6153846154,0.07692307692,0.8846153846,-0.5769230769,2.192307692,1.461538462,1.730769231,1.230769231,-0.1153846154,1.192307692,1.576923077,1.12,0.9230769231,2.076923077,1.692307692,1.423076923,-0.2,0.6923076923,0.07692307692,0.5769230769,0.07692307692,-1.076923077,0.1538461538,2.269230769,0.7692307692,0.5,2.884615385,0.7692307692,1.192307692,2.038461538,0.5,0.9230769231,0.1538461538,-0.1923076923,1.884615385,2.230769231,1.230769231,0.2692307692,0.9230769231,-0.2307692308,0.3461538462,-0.1923076923,0.07692307692